#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
2465  DISPLACEMENT_Y1 5.902450462596e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2466  DISPLACEMENT_Y1 6.096047308684e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2467  DISPLACEMENT_Y1 6.289644154772e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2468  DISPLACEMENT_Y1 6.483241000860e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2469  DISPLACEMENT_Y1 6.676837846947e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2470  DISPLACEMENT_Y1 6.870434693035e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2471  DISPLACEMENT_Y1 7.064031539123e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2472  DISPLACEMENT_Y1 7.257628385210e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2473  DISPLACEMENT_Y1 7.451225231298e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2474  DISPLACEMENT_Y1 7.644822077386e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2475  DISPLACEMENT_Y1 7.838418923474e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2476  DISPLACEMENT_Y1 8.032015769561e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2477  DISPLACEMENT_Y1 8.225612615649e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2478  DISPLACEMENT_Y1 8.419209461737e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2479  DISPLACEMENT_Y1 8.612806307825e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2480  DISPLACEMENT_Y1 8.806403153912e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2481  DISPLACEMENT_Y1 9.000000000000e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2817  DISPLACEMENT_Y1 2.120826331430e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2820  DISPLACEMENT_Y1 1.916665162134e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2830  DISPLACEMENT_Y1 2.320908809973e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
3506  DISPLACEMENT_Y1 2.272509598451e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
3509  DISPLACEMENT_Y1 2.172468359180e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
